ID,NAME,SERIAL,MANUFACTURER,MODEL,TYPE,CPU,RAM_MB,DISK_GB,OS,DOMAIN,LOCATION,BUILDING,ROOM,MACADDR,PURCHASE_DATE,WARRANTY_END
3992877,ThinkCentre M720,LNUNVMU6PH,Lenovo,THINKCENTRE-VZ-0001,Desktop,Intel Core i5-7500,8192,1024,Windows 11 Pro,ADM.UVSQ,Vélizy,GEII,Bureau 219,02:00:00:31:5D:42,2020-11-14,2025-11-13
1252426,OptiPlex 9020,DLDLCWEFFF,Dell,OPTIPLEX-VZ-0002,Desktop,Intel Core i7-8650U,32768,512,Windows 10 Pro,WORKGROUP,Vélizy,GEII,Salle 132,02:00:00:03:D6:E7,2020-08-12,2025-08-11
5332095,Latitude 5490,DLFWXRLJ3E,Dell,LATITUDE-RB-0003,Laptop,Intel Core i5-8250U,32768,512,Windows 11 Pro,WORKGROUP,Rambouillet,GEII,Salle 109,02:00:00:40:D2:1B,2018-02-25,2021-02-24
6796046,All-in-One 24-df,HPF9VUMUKB,HP,ALLINONE-VZ-0004,AiO,Intel Core i5-6500,8192,256,Windows 10 Pro,WORKGROUP,Vélizy,MMI,Salle 139,02:00:00:6D:31:7F,2023-03-31,2026-03-30
1041776,OptiPlex 9020,DLZ4QCMPSE,Dell,OPTIPLEX-VZ-0005,Desktop,Intel Core i5-6500,32768,1024,Windows 10 Pro,PEDA.UVSQ,Vélizy,MMI,Bureau 225,02:00:00:66:16:3A,2018-08-14,2023-08-13
1482432,OptiPlex 7050,DLJKP4PCXE,Dell,OPTIPLEX-VZ-0006,Desktop,Intel Core i5-10400,32768,256,Windows 11 Pro,WORKGROUP,Vélizy,Bâtiment B,Bureau 223,02:00:00:48:75:0E,2024-04-29,2027-04-29
6790950,Latitude 5490,DLTURTVDT7,Dell,LATITUDE-VZ-0007,Laptop,Intel Core i5-7500,8192,256,Windows 11 Pro,PEDA.UVSQ,Vélizy,Bâtiment A,Salle 122,02:00:00:11:03:D1,2021-03-20,2025-03-19
2726106,ProDesk 600 G3,HPF8XSW24U,HP,PRODESK-VZ-0008,Desktop,Intel Core i7-8650U,8192,256,Windows 10 Edu,ADM.UVSQ,Vélizy,INFO,Salle 157,02:00:00:71:5B:77,2019-11-30,2022-11-29
6596592,Latitude 5490,DLZ77YD67P,Dell,LATITUDE-RB-0009,Laptop,Intel Core i7-8700,8192,512,Windows 11 Pro,WORKGROUP,Rambouillet,R&T,Salle 142,02:00:00:33:2E:BF,2020-09-10,2025-09-09
8300437,OptiPlex 7070,DLV2RQWYNR,Dell,OPTIPLEX-RB-0010,Desktop,Intel Core i5-7500,8192,1024,Windows 11 Pro,ADM.UVSQ,Rambouillet,R&T,Salle 121,02:00:00:2F:56:09,2023-01-13,2028-01-12
7994942,ThinkPad T480,LNRSDUER6T,Lenovo,THINKPAD-RB-0011,Laptop,Intel Core i5-8250U,16384,1024,Windows 10 Pro,PEDA.UVSQ,Rambouillet,Bâtiment B,Salle 131,02:00:00:53:94:DB,2017-07-10,2020-07-09
1192291,ProDesk 600 G3,HP469XXV74,HP,PRODESK-VZ-0012,Desktop,Intel Core i5-10400,4096,256,Windows 11 Edu,WORKGROUP,Vélizy,Bâtiment B,Salle 152,02:00:00:7C:8E:3F,2021-09-15,2026-09-14
4599571,EliteDesk 800 G3,HPM3QLTN68,HP,ELITEDESK-RB-0013,Desktop,Intel Core i5-10400,8192,256,Windows 11 Edu,PEDA.UVSQ,Rambouillet,GEII,Salle 145,02:00:00:77:A5:81,2023-04-26,2028-04-24
8368406,ProDesk 600 G3,HPLXRMV3MB,HP,PRODESK-VZ-0014,Desktop,Intel Core i5-10400,8192,1024,Windows 11 Edu,ADM.UVSQ,Vélizy,Bâtiment A,Salle 144,02:00:00:1E:88:71,2021-09-11,2024-09-10
6767756,ProOne 600 G5 AiO,HPPF8QHAXF,HP,PROONE-RB-0015,AiO,Intel Core i5-7500,4096,256,Windows 11 Edu,ADM.UVSQ,Rambouillet,MMI,Salle 131,02:00:00:76:17:8B,2023-10-04,2028-10-02
5607554,OptiPlex 7060,DLWZ4UUGGG,Dell,OPTIPLEX-RB-0016,Desktop,Intel Core i5-10400,8192,512,Windows 11 Pro,PEDA.UVSQ,Rambouillet,INFO,Salle 130,02:00:00:73:32:2F,2021-12-07,2026-12-06
1651567,ThinkCentre M910,LNXCWD6MNC,Lenovo,THINKCENTRE-RB-0017,Desktop,Intel Core i5-8250U,8192,512,Windows 11 Edu,WORKGROUP,Rambouillet,INFO,Salle 128,02:00:00:71:F8:9C,2023-01-24,2027-01-23
8234761,ProDesk 400 G4,HPJRPBPACT,HP,PRODESK-RB-0018,Desktop,Intel Core i5-7500,32768,256,Windows 10 Edu,ADM.UVSQ,Rambouillet,INFO,Salle 129,02:00:00:08:1C:C7,2022-03-27,2026-03-26
2716852,OptiPlex 7060,DLSY28FE62,Dell,OPTIPLEX-RB-0019,Desktop,Intel Core i5-7500,32768,1024,Windows 11 Edu,PEDA.UVSQ,Rambouillet,GEII,Salle 112,02:00:00:77:62:52,2017-04-29,2022-04-28
2971241,Latitude 5490,DL3XHE9ZVK,Dell,LATITUDE-RB-0020,Laptop,Intel Core i5-10400,4096,1024,Windows 10 Edu,ADM.UVSQ,Rambouillet,INFO,Salle 158,02:00:00:43:24:13,2020-05-01,2023-05-01
5819414,Latitude 5490,DLDGZETW8C,Dell,LATITUDE-RB-0021,Laptop,Intel Core i5-7500,4096,1024,Windows 10 Pro,ADM.UVSQ,Rambouillet,INFO,Salle 101,02:00:00:5E:44:F2,2020-06-09,2024-06-08
2679683,EliteDesk 800 G3,HPP6LZMNWS,HP,ELITEDESK-RB-0022,Desktop,Intel Core i5-10400,4096,512,Windows 11 Pro,WORKGROUP,Rambouillet,MMI,Bureau 229,02:00:00:32:61:43,2020-03-15,2024-03-14
