ID,SERIAL,MANUFACTURER,MODEL,SIZE_INCH,RESOLUTION,CONNECTOR,ATTACHED_TO
4876987,DMXUMX6M5R,Dell,P2419H,24,1920x1080,HDMI,PRODESK-VZ-0779
9492912,DMLHLAEBWC,Dell,P2719H,27,1920x1080,HDMI,THINKCENTRE-VZ-0600
9800527,HMW5RVESRY,HP,Z24n G2,24,1920x1200,DVI,PROONE-RB-0511
1375516,HMXC4RY43T,HP,Z24n G2,24,1920x1200,DisplayPort,PRODESK-RB-0437
4475138,DMAWA62E7Q,Dell,U2415,24,1920x1200,VGA,PRODESK-RB-0783
8794347,DMZRK2MVSB,Dell,P2719H,27,1920x1080,VGA,OPTIPLEX-VZ-0354
7898743,DMC3XCNHVS,Dell,P2419H,24,1920x1080,DisplayPort,OPTIPLEX-VZ-0706
6503967,DM23K4PNGC,Dell,P2719H,27,1920x1080,DisplayPort,PRODESK-RB-0628
4787691,HMMB334THN,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-VZ-0807
4120353,DM8GCM9NXD,Dell,U2415,24,1920x1200,DisplayPort,LATITUDE-VZ-0998
1388909,DMVKFW37QS,Dell,P2419H,24,1920x1080,DisplayPort,ELITEDESK-RB-0040
6784329,DM7S3KQE7C,Dell,P2719H,27,1920x1080,DVI,LATITUDE-RB-0313
3799531,HMC6SDZDAS,HP,E24 G4,24,1920x1080,DisplayPort,ALLINONE-RB-0173
3961793,HMDGBNCQXF,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-RB-0024
4266488,DMK2QZDENW,Dell,P2719H,27,1920x1080,HDMI,OPTIPLEX-RB-0642
5432278,DMJQLJD5HV,Dell,P2719H,27,1920x1080,DisplayPort,OPTIPLEX-RB-0818
5483159,DMQ4Y45VJK,Dell,P2419H,24,1920x1080,HDMI,OPTIPLEX-RB-0535
6371480,HML4AYE6S8,HP,Z24n G2,24,1920x1200,DisplayPort,THINKCENTRE-RB-0990
9887983,HMLD97AGMA,HP,Z24n G2,24,1920x1200,VGA,OPTIPLEX-RB-0487
6400817,HMH5C62N3Q,HP,Z24n G2,24,1920x1200,DisplayPort,OPTIPLEX-VZ-0439
6303195,DM2DKZBGX3,Dell,U2415,24,1920x1200,DVI,PRODESK-RB-0729
8655229,HM3GLVZDEY,HP,Z24n G2,24,1920x1200,VGA,LATITUDE-RB-0370
6785543,DMM53A6VC3,Dell,U2415,24,1920x1200,VGA,PRODESK-RB-0258
6786971,HM3F3FAS9D,HP,E24 G4,24,1920x1080,HDMI,OPTIPLEX-RB-0629
7956248,DMW2GTJGXF,Dell,P2419H,24,1920x1080,HDMI,OPTIPLEX-RB-0786
2132137,HMF7BA4JTY,HP,E24 G4,24,1920x1080,DVI,PRODESK-RB-0542
1280300,HM686D7JRP,HP,E24 G4,24,1920x1080,DisplayPort,THINKCENTRE-RB-0837
9792543,HM9R3NKKC4,HP,Z24n G2,24,1920x1200,DisplayPort,OPTIPLEX-RB-0742
3683820,DM68W8GCDN,Dell,P2719H,27,1920x1080,DVI,OPTIPLEX-RB-0727
5610842,HMADTKTPUW,HP,Z24n G2,24,1920x1200,VGA,ALLINONE-VZ-0462
5160498,DMJWZ6CETJ,Dell,P2719H,27,1920x1080,VGA,OPTIPLEX-RB-0562
3581455,DMRSW9SZVL,Dell,P2719H,27,1920x1080,DVI,OPTIPLEX-VZ-0865
5873330,DMUFEZ4257,Dell,P2719H,27,1920x1080,HDMI,OPTIPLEX-RB-0567
2678359,HMCKWFK6PU,HP,Z24n G2,24,1920x1200,VGA,THINKCENTRE-RB-0121
